"state","murder","assault","rape","urban_pop","region","population","income","illiteracy","life_exp","hs_grad","frost","area"
"Alabama",13.2,236,21.2,58,"alabama",3615,3624,2.1,69.05,41.3,20,50708
"Alaska",10,263,44.5,48,"alaska",365,6315,1.5,69.31,66.7,152,566432
"Arizona",8.1,294,31,80,"arizona",2212,4530,1.8,70.55,58.1,15,113417
"Arkansas",8.8,190,19.5,50,"arkansas",2110,3378,1.9,70.66,39.9,65,51945
"California",9,276,40.6,91,"california",21198,5114,1.1,71.71,62.6,20,156361
"Colorado",7.9,204,38.7,78,"colorado",2541,4884,0.7,72.06,63.9,166,103766
"Connecticut",3.3,110,11.1,77,"connecticut",3100,5348,1.1,72.48,56,139,4862
"Delaware",5.9,238,15.8,72,"delaware",579,4809,0.9,70.06,54.6,103,1982
"Florida",15.4,335,31.9,80,"florida",8277,4815,1.3,70.66,52.6,11,54090
"Georgia",17.4,211,25.8,60,"georgia",4931,4091,2,68.54,40.6,60,58073
"Hawaii",5.3,46,20.2,83,"hawaii",868,4963,1.9,73.6,61.9,0,6425
"Idaho",2.6,120,14.2,54,"idaho",813,4119,0.6,71.87,59.5,126,82677
"Illinois",10.4,249,24,83,"illinois",11197,5107,0.9,70.14,52.6,127,55748
"Indiana",7.2,113,21,65,"indiana",5313,4458,0.7,70.88,52.9,122,36097
"Iowa",2.2,56,11.3,57,"iowa",2861,4628,0.5,72.56,59,140,55941
"Kansas",6,115,18,66,"kansas",2280,4669,0.6,72.58,59.9,114,81787
"Kentucky",9.7,109,16.3,52,"kentucky",3387,3712,1.6,70.1,38.5,95,39650
"Louisiana",15.4,249,22.2,66,"louisiana",3806,3545,2.8,68.76,42.2,12,44930
"Maine",2.1,83,7.8,51,"maine",1058,3694,0.7,70.39,54.7,161,30920
"Maryland",11.3,300,27.8,67,"maryland",4122,5299,0.9,70.22,52.3,101,9891
"Massachusetts",4.4,149,16.3,85,"massachusetts",5814,4755,1.1,71.83,58.5,103,7826
"Michigan",12.1,255,35.1,74,"michigan",9111,4751,0.9,70.63,52.8,125,56817
"Minnesota",2.7,72,14.9,66,"minnesota",3921,4675,0.6,72.96,57.6,160,79289
"Mississippi",16.1,259,17.1,44,"mississippi",2341,3098,2.4,68.09,41,50,47296
"Missouri",9,178,28.2,70,"missouri",4767,4254,0.8,70.69,48.8,108,68995
"Montana",6,109,16.4,53,"montana",746,4347,0.6,70.56,59.2,155,145587
"Nebraska",4.3,102,16.5,62,"nebraska",1544,4508,0.6,72.6,59.3,139,76483
"Nevada",12.2,252,46,81,"nevada",590,5149,0.5,69.03,65.2,188,109889
"New Hampshire",2.1,57,9.5,56,"new hampshire",812,4281,0.7,71.23,57.6,174,9027
"New Jersey",7.4,159,18.8,89,"new jersey",7333,5237,1.1,70.93,52.5,115,7521
"New Mexico",11.4,285,32.1,70,"new mexico",1144,3601,2.2,70.32,55.2,120,121412
"New York",11.1,254,26.1,86,"new york",18076,4903,1.4,70.55,52.7,82,47831
"North Carolina",13,337,16.1,45,"north carolina",5441,3875,1.8,69.21,38.5,80,48798
"North Dakota",0.8,45,7.3,44,"north dakota",637,5087,0.8,72.78,50.3,186,69273
"Ohio",7.3,120,21.4,75,"ohio",10735,4561,0.8,70.82,53.2,124,40975
"Oklahoma",6.6,151,20,68,"oklahoma",2715,3983,1.1,71.42,51.6,82,68782
"Oregon",4.9,159,29.3,67,"oregon",2284,4660,0.6,72.13,60,44,96184
"Pennsylvania",6.3,106,14.9,72,"pennsylvania",11860,4449,1,70.43,50.2,126,44966
"Rhode Island",3.4,174,8.3,87,"rhode island",931,4558,1.3,71.9,46.4,127,1049
"South Carolina",14.4,279,22.5,48,"south carolina",2816,3635,2.3,67.96,37.8,65,30225
"South Dakota",3.8,86,12.8,45,"south dakota",681,4167,0.5,72.08,53.3,172,75955
"Tennessee",13.2,188,26.9,59,"tennessee",4173,3821,1.7,70.11,41.8,70,41328
"Texas",12.7,201,25.5,80,"texas",12237,4188,2.2,70.9,47.4,35,262134
"Utah",3.2,120,22.9,80,"utah",1203,4022,0.6,72.9,67.3,137,82096
"Vermont",2.2,48,11.2,32,"vermont",472,3907,0.6,71.64,57.1,168,9267
"Virginia",8.5,156,20.7,63,"virginia",4981,4701,1.4,70.08,47.8,85,39780
"Washington",4,145,26.2,73,"washington",3559,4864,0.6,71.72,63.5,32,66570
"West Virginia",5.7,81,9.3,39,"west virginia",1799,3617,1.4,69.48,41.6,100,24070
"Wisconsin",2.6,53,10.8,66,"wisconsin",4589,4468,0.7,72.48,54.5,149,54464
"Wyoming",6.8,161,15.6,60,"wyoming",376,4566,0.6,70.29,62.9,173,97203
